disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,status,fyDeclared,incidentDuration
5243,2018-06-22 00:00:00+00:00,GRAHAM FIRE,2018-06-21 00:00:00+00:00,2018-06-25 00:00:00+00:00,Fire Management,Oregon                        ,Fire,2018-06-22 00:00:00+00:00,2025-03-13 00:00:00+00:00,2025-03-13 00:00:00+00:00,10,False,False,True,True,,2018-06-21T00:00:00.000Z,Closed,2018,4.0
5554,2025-03-07 00:00:00+00:00,COVINGTON DRIVE FIRE,2025-03-01 00:00:00+00:00,,Fire Management,South Carolina                ,Fire,2025-03-10 00:00:00+00:00,2025-03-10 00:00:00+00:00,,4,False,False,True,True,R,2025-03-07T00:00:00.000Z,Open,2025,
4859,2025-01-15 00:00:00+00:00,SEVERE STORM AND FLOODING,2024-10-20 00:00:00+00:00,2024-10-23 00:00:00+00:00,Major Disaster,Alaska                        ,Severe Storm,2025-01-16 00:00:00+00:00,2025-01-16 00:00:00+00:00,,10,False,False,True,True,"5,W",2024-12-16T00:00:00.000Z,Open,2025,3.0
4856,2025-01-08 00:00:00+00:00,WILDFIRES AND STRAIGHT-LINE WINDS,2025-01-07 00:00:00+00:00,2025-01-31 00:00:00+00:00,Major Disaster,California                    ,Fire,2025-01-09 00:00:00+00:00,2025-02-18 00:00:00+00:00,,9,True,False,True,True,"2,R",2025-01-08T00:00:00.000Z,Open,2025,24.0
5551,2025-01-08 00:00:00+00:00,HURST FIRE,2025-01-07 00:00:00+00:00,,Fire Management,California                    ,Fire,2025-01-08 00:00:00+00:00,2025-01-08 00:00:00+00:00,,9,False,False,True,True,R,2025-01-08T00:00:00.000Z,Open,2025,
5550,2025-01-08 00:00:00+00:00,EATON FIRE,2025-01-07 00:00:00+00:00,,Fire Management,California                    ,Fire,2025-01-08 00:00:00+00:00,2025-01-08 00:00:00+00:00,,9,False,False,True,True,R,2025-01-07T00:00:00.000Z,Open,2025,
5549,2025-01-07 00:00:00+00:00,PALISADES FIRE,2025-01-07 00:00:00+00:00,,Fire Management,California                    ,Fire,2025-01-08 00:00:00+00:00,2025-01-08 00:00:00+00:00,,9,False,False,True,True,R,2025-01-07T00:00:00.000Z,Open,2025,
4854,2025-01-01 00:00:00+00:00,WILDFIRES,2024-07-10 00:00:00+00:00,2024-08-23 00:00:00+00:00,Major Disaster,Oregon                        ,Fire,2025-01-02 00:00:00+00:00,2025-01-02 00:00:00+00:00,,10,False,False,True,True,"R,W",2024-10-21T00:00:00.000Z,Open,2025,44.0
53,1956-04-05 00:00:00+00:00,TORNADO,1956-04-05 00:00:00+00:00,1956-04-05 00:00:00+00:00,Major Disaster,Michigan                      ,Tornado,1993-07-21 00:00:00+00:00,2001-09-09 00:00:00+00:00,1956-04-30 00:00:00+00:00,5,False,True,True,True,,1956-04-05T00:00:00.000Z,Closed,1956,0.0
52,1956-03-29 00:00:00+00:00,FLOOD,1956-03-29 00:00:00+00:00,1956-03-29 00:00:00+00:00,Major Disaster,New York                      ,Flood,1993-07-21 00:00:00+00:00,2001-09-09 00:00:00+00:00,1957-03-01 00:00:00+00:00,2,False,True,True,True,,1956-03-29T00:00:00.000Z,Closed,1956,0.0
